NMSG,CPU_MAX,CPU_AVG,ANOMALY
90117.0,2.27,1.46,0.0
56721.0,2.98,1.37,0.0
58857.0,1.44,1.02,0.0
68757.0,2.36,1.27,0.0
126611.0,2.42,1.6,0.0
241087.0,3.13,2.16,0.0
496553.0,5.52,4.03,0.0
886741.0,8.27,6.46,0.0
1139685.0,10.33,8.48,0.0
1216370.0,10.7,9.19,0.0
1097036.0,10.22,8.46,0.0
841957.0,8.26,6.98,0.0
700286.0,6.89,5.92,0.0
699781.0,6.64,5.72,0.0
902348.0,8.66,6.94,0.0
1181210.0,11.03,8.72,0.0
1309968.0,11.15,9.76,0.0
1123832.0,10.55,8.57,0.0
627279.0,7.22,5.38,0.0
437424.0,4.93,4.09,0.0
377569.0,7.01,4.46,0.0
255455.0,4.22,2.67,0.0
136390.0,2.39,1.8,0.0
88805.0,2.32,1.95,0.0
88500.0,2.1,1.41,0.0
55540.0,2.55,1.33,0.0
54773.0,1.8,1.09,0.0
61672.0,2.78,1.2,0.0
105947.0,1.83,1.32,0.0
255187.0,3.49,2.25,0.0
543494.0,5.85,4.24,0.0
915454.0,8.54,6.67,0.0
1136437.0,9.98,8.23,0.0
1241005.0,10.35,8.92,0.0
1134775.0,9.93,8.21,0.0
850577.0,8.41,6.74,0.0
725796.0,7.05,5.89,0.0
719473.0,6.65,5.7,0.0
909142.0,8.76,6.77,0.0
1176058.0,10.71,8.46,0.0
1312278.0,11.0,9.44,1.0
1168696.0,100.0,9.94,0.0
645286.0,6.85,5.24,0.0
457932.0,5.07,4.05,0.0
412909.0,8.27,4.92,0.0
278740.0,4.48,2.83,0.0
159606.0,3.05,2.08,0.0
97796.0,2.64,2.07,0.0
91694.0,2.17,1.42,0.0
46709.0,2.81,1.31,0.0
57371.0,1.47,1.12,0.0
68487.0,2.68,1.26,0.0
106261.0,1.85,1.35,0.0
260146.0,3.49,2.31,0.0
562284.0,6.43,4.45,0.0
917668.0,9.13,7.11,0.0
1168521.0,10.46,8.75,0.0
1235689.0,10.74,9.39,0.0
1117712.0,10.27,8.66,0.0
861593.0,8.72,7.05,0.0
739505.0,7.68,6.24,0.0
711416.0,6.76,5.83,0.0
888531.0,8.39,6.81,0.0
1144487.0,10.96,8.57,0.0
1320201.0,11.38,9.79,0.0
1121187.0,10.98,8.72,0.0
662022.0,7.31,5.6,0.0
478488.0,5.63,4.31,0.0
421571.0,7.63,4.86,0.0
288043.0,4.69,2.93,0.0
156263.0,2.98,1.97,0.0
90952.0,2.74,2.07,0.0
91051.0,2.54,1.61,0.0
48331.0,3.01,1.37,0.0
59374.0,2.25,1.12,0.0
67377.0,2.36,1.18,0.0
