ds,y
2023-02-27,15624583.0
2023-02-28,17119513.0
2023-03-01,19507214.0
2023-03-02,18268465.0
2023-03-03,18824601.0
2023-03-04,20301691.0
2023-03-05,13099980.0
2023-03-06,15877855.0
2023-03-07,16591154.0
2023-03-08,17409159.0
2023-03-09,16741768.0
2023-03-10,18474606.0
2023-03-11,20185880.0
2023-03-12,13052190.0
2023-03-13,16085517.0
2023-03-14,16696016.0
2023-03-15,17050224.0
2023-03-16,17128381.0
2023-03-17,18489923.0
2023-03-18,20512872.0
2023-03-19,12861837.0
2023-03-20,15431989.0
2023-03-21,16380621.0
2023-03-22,16892324.0
2023-03-23,17210660.0
2023-03-24,18279461.0
2023-03-25,19911543.0
2023-03-26,12252374.0
2023-03-27,15975557.0
2023-03-28,16823789.0
2023-03-29,16850911.0
2023-03-30,16938418.0
2023-03-31,18482701.0
2023-04-01,23354297.0
2023-04-02,14249266.0
2023-04-03,18080729.0
2023-04-04,18214397.0
2023-04-05,18685344.0
2023-04-06,19394227.0
2023-04-07,20891270.0
2023-04-08,21943705.0
2023-04-09,7937824.0
2023-04-10,10335240.0
2023-04-11,16935501.0
2023-04-12,16931926.0
2023-04-13,16606329.0
2023-04-14,18548461.0
2023-04-15,19914126.0
2023-04-16,12738811.0
2023-04-17,16231453.0
2023-04-18,16729445.0
2023-04-19,17193767.0
2023-04-20,17304426.0
2023-04-21,19071458.0
2023-04-22,21042141.0
2023-04-23,13461501.0
2023-04-24,18320968.0
2023-04-25,12321919.0
2023-04-26,17246694.0
2023-04-27,17908899.0
2023-04-28,19795865.0
2023-04-29,20702929.0
2023-04-30,13731965.0
2023-05-01,13438882.0
2023-05-02,19921368.0
2023-05-03,18248800.0
2023-05-04,18302113.0
2023-05-05,19284908.0
2023-05-06,20526687.0
2023-05-07,13138293.0
2023-05-08,16454992.0
2023-05-09,17066967.0
2023-05-10,16944213.0
2023-05-11,13674986.0
2023-05-12,19019345.0
2023-05-13,20834607.0
2023-05-14,13300638.0
2023-05-15,16434652.0
2023-05-16,16393495.0
2023-05-17,16520714.0
2023-05-18,17385660.0
2023-05-19,18379800.0
2023-05-20,19235932.0
2023-05-21,12946865.0
2023-05-22,16343620.0
2023-05-23,17159817.0
2023-05-24,16850918.0
2023-05-25,17307647.0
2023-05-26,19198707.0
2023-05-27,21087994.0
2023-05-28,13745529.0
2023-05-29,17154880.0
2023-05-30,17594245.0
2023-05-31,18150239.0
2023-06-01,23971994.0
2023-06-02,16614393.0
2023-06-03,21073430.0
2023-06-04,14002235.0
2023-06-05,18207958.0
2023-06-06,18556073.0
2023-06-07,18623298.0
2023-06-08,18822227.0
2023-06-09,20291628.0
2023-06-10,21235910.0
2023-06-11,14186205.0
2023-06-12,17880364.0
2023-06-13,18215931.0
2023-06-14,18232208.0
2023-06-15,19494860.0
2023-06-16,20410195.0
2023-06-17,21373311.0
2023-06-18,14686350.0
2023-06-19,18126942.0
2023-06-20,19080248.0
2023-06-21,18910209.0
2023-06-22,19542843.0
2023-06-23,21322211.0
2023-06-24,21352849.0
2023-06-25,14851131.0
2023-06-26,18336789.0
2023-06-27,19367472.0
2023-06-28,19336318.0
2023-06-29,19249869.0
2023-06-30,20101174.0
2023-07-01,24401742.0
2023-07-02,16089474.0
2023-07-03,20094417.0
2023-07-04,19705192.0
2023-07-05,19689401.0
2023-07-06,19969397.0
2023-07-07,20853972.0
2023-07-08,22733696.0
2023-07-09,15175238.0
2023-07-10,19248779.0
2023-07-11,20923122.0
2023-07-12,20909528.0
2023-07-13,19659433.0
2023-07-14,21886764.0
2023-07-15,22754260.0
2023-07-16,15963680.0
2023-07-17,19668970.0
2023-07-18,20072967.0
2023-07-19,20018434.0
2023-07-20,20397995.0
2023-07-21,21470601.0
2023-07-22,22675734.0
2023-07-23,15792975.0
2023-07-24,18675587.0
2023-07-25,19158709.0
2023-07-26,20036433.0
2023-07-27,20498070.0
2023-07-28,21645991.0
2023-07-29,22204610.0
2023-07-30,15752680.0
2023-07-31,19400747.0
2023-08-01,23722519.0
2023-08-02,21593631.0
2023-08-03,21007058.0
2023-08-04,20946811.0
2023-08-05,22006563.0
2023-08-06,15224071.0
2023-08-07,19275879.0
2023-08-08,19768738.0
2023-08-09,19836862.0
2023-08-10,20277685.0
2023-08-11,21344612.0
2023-08-12,21036022.0
2023-08-13,15139855.0
2023-08-14,20348415.0
2023-08-15,12635552.0
2023-08-16,18901359.0
2023-08-17,19147323.0
2023-08-18,19788987.0
2023-08-19,19532305.0
2023-08-20,14924548.0
2023-08-21,18793848.0
2023-08-22,18945403.0
2023-08-23,18609009.0
2023-08-24,18708143.0
2023-08-25,20003144.0
2023-08-26,20036060.0
2023-08-27,14304779.0
2023-08-28,17649330.0
2023-08-29,18394114.0
2023-08-30,18516628.0
2023-08-31,18631932.0
2023-09-01,23335383.0
2023-09-02,22534585.0
2023-09-03,15083777.0
2023-09-04,19017259.0
2023-09-05,19365021.0
2023-09-06,19034162.0
2023-09-07,19119471.0
2023-09-08,20316312.0
2023-09-09,21390573.0
2023-09-10,15001274.0
2023-09-11,18663540.0
2023-09-12,19397404.0
2023-09-13,19383329.0
2023-09-14,19532856.0
2023-09-15,21342854.0
2023-09-16,21859239.0
2023-09-17,15110575.0
2023-09-18,18116058.0
2023-09-19,18956143.0
2023-09-20,18853840.0
2023-09-21,18602372.0
2023-09-22,20140672.0
2023-09-23,21536807.0
2023-09-24,14872841.0
2023-09-25,17477166.0
2023-09-26,18357080.0
2023-09-27,18680877.0
2023-09-28,19362254.0
2023-09-29,20429059.0
2023-09-30,23546535.0
2023-10-01,18060867.0
2023-10-02,20543629.0
2023-10-03,19518199.0
2023-10-04,19081410.0
2023-10-05,19301896.0
2023-10-06,20717220.0
2023-10-07,21853269.0
2023-10-08,14707696.0
2023-10-09,17602993.0
2023-10-10,19242809.0
2023-10-11,19159893.0
2023-10-12,19233659.0
2023-10-13,20617481.0
2023-10-14,22105176.0
2023-10-15,14875935.0
2023-10-16,17594508.0
2023-10-17,18306367.0
2023-10-18,18274048.0
2023-10-19,18256373.0
2023-10-20,19447879.0
2023-10-21,21683192.0
2023-10-22,14703697.0
2023-10-23,17251182.0
2023-10-24,17110871.0
2023-10-25,18437592.0
2023-10-26,18245969.0
2023-10-27,20643090.0
2023-10-28,22625496.0
2023-10-29,14748509.0
2023-10-30,17745429.0
2023-10-31,20652674.0
2023-11-01,17363765.0
2023-11-02,20552912.0
2023-11-03,20813745.0
2023-11-04,22104705.0
2023-11-05,14430856.0
2023-11-06,17791438.0
2023-11-07,18195846.0
2023-11-08,18405111.0
2023-11-09,19401774.0
2023-11-10,21712930.0
2023-11-11,24064097.0
2023-11-12,15238271.0
2023-11-13,18440531.0
2023-11-14,9783410.0
2023-11-15,19535115.0
2023-11-16,19905362.0
2023-11-17,22200620.0
2023-11-18,24135683.0
2023-11-19,15906790.0
2023-11-20,19093732.0
2023-11-21,19406189.0
2023-11-22,20124367.0
2023-11-23,20361476.0
2023-11-24,23341964.0
2023-11-25,24019636.0
2023-11-26,16593083.0
2023-11-27,19480133.0
2023-11-28,19731847.0
2023-11-29,19721693.0
2023-11-30,20183606.0
2023-12-01,26098473.0
2023-12-02,26304625.0
2023-12-03,17167234.0
2023-12-04,19807907.0
2023-12-05,19980615.0
2023-12-06,21207788.0
2023-12-07,23220142.0
2023-12-08,17262383.0
2023-12-09,23225122.0
2023-12-10,15927554.0
2023-12-11,19566189.0
